position,company,description,numreview,location
Must be experienced with statistical software such as R or SPSS and/or database tools such as SQL or Access and have strong technical and analytical skills.<br>
Master’s degree or higher in relevant field (i.e., social sciences, economics, mathematics, statistics).<br>
5+ years of experience in institutional research and/or higher education experience.<br>
Strong technical skills, including experience with SQL Server, R, SPSS, and Tableau.<br>
<br>
Application Procedures<br>
<br>
<br>
To apply for this position, please click on the ""Apply Now"" button on this page. You must submit your application by clicking on the ""Submit"" button. If you need assistance completing your application, please click here.<br>
<br>
Applicants with disabilities requiring assistance may call (619) 594-7099.<br>
<br>
General Information<br>
<br>
The person holding this position is considered a ‘mandated reporter’ under the California Child Abuse and Neglect Reporting Act and is required to comply with the requirements set forth in CSU Executive Order 1083 as a condition of employment.<br>
<br>
A background check (including a criminal records check) must be completed satisfactorily before any candidate can be offered a position with the CSU. Failure to satisfactorily complete the background check may affect the application status of applicants or continued employment of current CSU employees who apply for the position.<br>
<br>
SDSU is a smoke free campus. For more information, please click here.<br>
<br>
SDSU is an equal opportunity employer and does not discriminate against persons on the basis of race, religion, national origin, sexual orientation, gender, gender identity and expression, marital status, age, disability, pregnancy, medical condition, or covered veteran status.</p></span>",819 reviews,"San Diego, CA"
"Data Scientist, Enterprise SaaS Data Systems",Inseego,"<span id=""job_summary"" class=""summary"">We are seeking a seasoned data science expert to help drive innovation and make an impact within the world of health. As a Data Scientist you’ll be responsible for individual data science work. You’ll be working to solve complex problems using large datasets and an array of advanced data science technology. Every day, you’ll be working alongside energizing product teams that are eager for your insights that solve our customers’ most pressing problems.
<br><br>
<b>Responsibilities:</b><br>
Design, analyze, develop, test, and deploy complex analytical models into enterprise data systems. Perform each task as needed for data science projects as an independent contributor.
<br>Demonstrate in-depth knowledge of data science and statistics. Perform as the data science liaison and subject matter expert.
<br>Apply creative and unconventional thinking with standard industry best practices to solve challenging and unique business problems.
<br>Transform business goals into hypotheses and tangible data mining goals. Plan and execute experiments.
<br>Collaborate with other business stakeholders to define business problems and to design solutions using advanced analytics.
<br>Leverage software development principles and break down tasks into measurable time specific milestones.
<br>Enhance architecture and systems to improve processes, refresh technical capabilities, and ensure that deliverables are state-of-the-art. Implement new tools and new approaches to achieve better outcomes.
<br>Complete documentation, business reports, white papers, and technical/statistical assessments.
<br><br>
<b>Qualifications:</b><br>
Master’s degree in Data Science, Predictive Analytics, Engineering, Mathematics, Statistics, Computer Science, or related field with graduate level coursework in machine learning.
<br>Minimum of eight years of experience building and applying predictive models and programming using statistical software. R language preferred.
<br>Proven knowledge of statistical techniques and data science is required.
<br>Minimum of eight years of experience manipulating large datasets and using database tools and programming languages (SQL, Hive, Impala, Spark). A solid understanding of relational database concepts is required.
<br>Ability to quickly understand new concepts and implement novel designs to advanced data science problems.
<br>Ability to conduct research on new algorithms and implement in ways that create customer value.
<br>Strong business acumen.
<br>Strong interpersonal and communication skills (both written and oral) including the ability to communicate complex technical/statistical concepts to a non-technical audience.
<br>Strong candidates are creative, innovative, and have intellectual curiosity.
<br><br>
Inseego is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion (including religious dress and grooming), sex/gender (including pregnancy, childbirth, related medical conditions or breastfeeding), gender identity, gender expression, national origin, ancestry, age, physical or mental disability or legally protected medical condition, family care status, military or veteran status, marital status, sexual orientation, genetic information, or any other protected classification under federal, state and local law.</span>",6 reviews,"San Diego, CA"
Data Scientist Sr (Secret Clearance Required),Alion Science and Technology,"<span id=""job_summary"" class=""summary""><div><div><div><div><div><div><p>Under minimal supervision, designs experiments, test hypotheses, and build models. Conducts advanced data analysis and complex designs algorithm.<br>
<br>
<b>Duties and Responsibilities</b><br>
Establishes database management systems, standards, guidelines and quality assurance for database deliverables.</p><p>
Identifies what data is available and relevant, including internal and external data sources, leveraging new data collection processes such.</p><p>
Collaborates with Institute subject matter experts to select the relevant sources of information.</p><p>
Works with IT teams to support data collection, integration, and retention requirements based on the input collected with the business.</p><p>
Solves client analytics problems and communicates results and methodologies.</p><p>
Works in iterative processes with the client and validates findings.</p><p>
Develops experimental design approaches to validate finding or test hypotheses.</p><p>
Validates analysis by comparing appropriate samples.</p><p>
Employs the appropriate algorithm to discover patterns.</p><p>
Defines the validity of the information, how long the information is meaningful, and what other information it is related to.</p><p>
Works with the data steward to ensure that the information used is in compliance with the regulatory and security policies in place.</p><p>
Qualifies where information can be stored or what information, external to the organization, may be used in support of the use case.</p><p>
Identifies and analyzes patterns in the volume of data supporting the initiative, the type of data (e.g. images, text, clickstream or metering data) and the speed or sudden variations in data collection.</p><p>
Collaborates with the data steward to ensure that the information used follows the compliance, access management, and control policies and that it meets the qualification and assurance requirements of the<br>
Institute.</p><p>
Recommends ongoing improvements to methods and algorithms that lead to findings, including new information.</p><p>
Presents and depicts the rationale of their findings in easy to understand terms for the business.</p><p>
Educates the organization both from IT and the business perspectives on new approaches, such as testing hypotheses and statistical validation of results. Helps the organization understand the principles and the math behind the process to drive organizational buy-in.</p><p>
Provides business metrics for the overall project to show improvements (contribution to the improvement should be monitored initially and over multiple iterations).</p><p>
Demonstrates the following scientist qualities: clarity, accuracy, precision, relevance, depth, breadth,<br>
logic, significance, and fairness.</p><p>
Assess the effectiveness and accuracy of new data sources and data gathering techniques.</p><p>
Develop custom data models and algorithms to apply to data sets.</p><p>
Performs additional duties and responsibilities as required.</p><p><b>
Education and Experience</b><br>
Bachelor’s degree in Computer Science, Statistics, Applied Math or related field plus 5 to 7 years of directly related experience.</p><p>
In some cases, educational requirements may be adjusted or waived for more than 6 years applicable work experience. Work experience may be adjusted for highly specialized knowledge or uniquely applicable experience for positions involving new technology or labor market shortages as reflected by market survey data.</p><p>
Experience with programming languages such as Java/Python an asset.</p><p>
Excellent pattern recognition and predictive modeling skills.</p><p><b>
Knowledge, Skills, Abilities</b><br>
Strong problem solving skills with an emphasis on product development.</p><p>
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.</p><p>
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.</p><p>
Knowledge and experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.</p><p>
Coding knowledge and experience with several languages: C, C++, Java, JavaScript, etc.</p><p>
Experience working with and creating data architectures.</p><p>
Ability to communicate and work effectively in a diverse work group.</p><p>
Excellent written and verbal communication skills for coordinating across teams.</p><p><b>
A Secret Clearance is required for employment.</b></p><ul><li><b>CB
</b></li><li><b>CJ</b></li></ul><br>
</div></div></div></div></div><div><div><h2 class=""jobSectionHeader""><b>
Diversity Statement</b></h2>
<div><div><div><p>Women, minorities, individuals with disabilities and veterans are encouraged to apply. Alion will provide a reasonable accommodation to individuals with disabilities and disabled veterans who need assistance to apply. Please visit the Alion Careers site for more information</p><p>
U.S. Citizenship Required.</p></div></div></div></div></div></div></span>",179 reviews,"San Diego, CA 92108"
"Scientist I / II, Neurodegenerative Diseases","Samumed, LLC","<span id=""job_summary"" class=""summary""><p><b>About</b></p><p>Samumed is a pharmaceutical platform company based in San Diego, California, focused on advancing regenerative medicine and oncology applications through research and innovation (www.samumed.com). Samumed has discovered new targets and biological processes in the Wnt pathway, allowing the company to develop small molecule drugs that have the potential to address numerous degenerative conditions as well as many forms of cancer. Samumed is currently conducting clinical trials for multiple disease areas, including oncology, osteoarthritis, Alzheimer’s disease, androgenetic alopecia, psoriasis, and idiopathic pulmonary fibrosis, and it has a broad pipeline targeting areas of significant unmet medical need.</p><p><b>Job Description and Responsibilities: </b></p><p>Samumed is looking for a highly motivated Scientist to join its Neurodegenerative Diseases team. Specific responsibilities of the position include:</p><ul><li>Designing and executing cell-based assays and <i>in vivo</i> studies to support the characterization of the mode of action and efficacy of novel molecules for CNS applications</li><li>Assist team members in integrative experiments that measure the biological response of <i>in vivo</i> systems to pharmacological modulation</li><li>Develop deep understanding of neurodegenerative disease biology in the context of Samumed Neuroscience priorities using appropriate experimental and analytical approaches</li><li>Outstanding organizational and critical thinking skills</li><li>Engaging in data analysis, presenting results, and working collaboratively with others to achieve objectives and timelines</li><li>Efficiently managing scheduling of studies, and managing own time to complete assigned work by due dates</li></ul><p><b>Requirements: </b></p><ul><li>MS or PhD with 5+ (MS) or 0+ (PhD) years of experience in Neuroscience, Neuroimmunology or related Biological Science. Pharmaceutical industry experience preferred</li><li>Publication record is highly desirable</li><li>Managerial experience is plus but not required</li><li>Broad knowledge of Molecular Biology, Biochemistry, Histology and <i>in vitro</i> assay development</li><li>Demonstrated application of mammalian cell culture and associated techniques with an emphasis on primary culture of neuronal cells</li><li>Experience doing surgery, dosing (IP, IV, PO, SC), and tissue harvesting required; experience doing stereotaxic surgery preferred</li><li>Previous research focused on the neurodegenerative disease systems</li><li>Must have strong work ethic, able to multi-task, detail-oriented and enthusiastic for laboratory work</li><li>Must be a team-player, punctual and reliable, dependable and flexible in adapting to change in a multi-disciplinary, fast-paced work environment</li><li>Level will be commensurate with experience</li></ul><p>Job Type: Full-time</p><p>Education:</p><ul><li>Master's</li></ul><p>Required work authorization:</p><ul><li>United States</li></ul></span>",,"San Diego, CA 92121"
Sr Automation and Machine Damage Control Engineer,Cymer,"<span id=""job_summary"" class=""summary""><div><div>ASML brings together the most creative minds in science and technology to develop lithography machines that are key to producing faster, cheaper, more energy-efficient microchips. We design, develop, integrate, market and service these advanced machines, which enable our customers - the world’s leading chipmakers – to reduce the size and increase the functionality of their microchips, which in turn leads to smaller, more powerful consumer electronics. Our headquarters are in Veldhoven, the Netherlands, and we have 18 office locations around the United States. We are currently recruiting for internships located at our office in San Diego, CA (EUV laser source creation).</div>
<br>
<div>As the world’s leading semiconductor lithography machine (the machine that makes computer chips) manufacturer, ASML enables chip manufacturers to make cheaper, faster, chips, thereby enabling all the technology you use today. The machines we make require high speed, magnetically levitated stages with sub-nanometer accuracy, robotic mask delivery systems, mechatronic devices to shape and correct the laser illumination source, and optical modules that can detect sub-nanometer alignment errors and pattern distortions. Temperature controlled to milli-kelvins, particulate free, and operating in complete vacuum, the technical challenges are endless. Solving these requires expertise in servo controls, mechatronics, mechanical engineering, electrical engineering, embedded software engineering, optics, physics, manufacturing, industrialization, and more. If you like extreme challenges and want to help bring the next generation of technology to the world, then come join ASML.</div>
<br>
<div>If you have a passion for technology and innovation you’ll want to check us out. Be a part of ASML. Be a part of progress.</div>
<br>
<div><i>One Company, One Goal, Limitless Innovation. It's our people that make the difference.</i></div>
<br>
 <div>“<i>This position requires access to controlled technology, as defined in the Export Administration Regulations (15 C.F.R. § 730, et seq.). Qualified candidates must be legally authorized to access such controlled technology prior to beginning work. Business demands may require ASML to proceed with applicants who are immediately eligible to access controlled technology</i>.”</div>
<br>
<div><b>SUMMARY</b></div>
<br>
<div>The EUV source team in San Diego operates in a fast-paced, uniquely innovative and challenging environment to create new-to-industry solutions with rapid production to support an aggressive commercialization plan for the EUV (Extreme Ultra Violet) technology within ASML.
</div><br>
<div>The Droplet Steering and Control function within the Droplet Generation Department is responsible for the development and engineering of the mechanics and control that steers the droplet stream to a precis location within the vacuum EUV source vessel to enable production of EUV light. The function is also responsible for the overall automation and control of the droplet generation process. The complexity of the EUV source puts exciting and challenging demands on the Automation and Machine Damage Control Engineer who will be engaged in all phases of the droplet generation automation and control development and integration involving high speed electronics, real-time embedded software, precision metrology and sophisticated control algorithms and state management logic, all working under extremely challenging dynamic conditions to produce stable and reliable droplets.
</div><br>
<div><b>RESPONSIBILITIES</b></div>
<ul><li>Serves as a technical expert for machine damage control for automation and control subsystems.
</li><li>Develop innovative machine damage control solutions with emphasis on preventative action to enable safe and robust system operation even when system is in an impaired state.</li>
<li>Leads and mentors junior engineers and leads the implementation and integration of machine damage control solutions.</li>
<li>Applies broad knowledge in sensors, actuators, automation logic, system state management, control algorithms, software, and data analysis tools to drive machine damage control improvements to enable continuously improved droplet stability and droplet generation availability.</li>
<li>Applies in-depth knowledge of system engineering, multi-physics, signal, and image analysis techniques to understand the dynamics of plant under control and signals best describing the state of the system to enable effective machine damage control.</li>
<li>Interacts with cross-functional groups (engineers and scientists, worldwide customer support personnel, manufacturing personnel, upper management, marketing, external customers). Crosses functional boundaries and builds constructive and effective relationships throughout the whole organization.</li>
<li>Documents work results with, investigation reports, system requirements, design specifications, test plans, procedures, and training materials.</li>
<li>Performs other duties as assigned.</li></ul>
<div><b>AUTOMATION/ALGORITHIMS/CONTROLS-SPECIFIC</b></div>
<ul><li>Works from broadly defined systems specifications to synthesize machine damage control system;
</li><li>Performs the design, development, and implementation of complex machine damage control algorithm involving system state management and control system.</li>
<li>Generates hardware and software requirement specifications for machine damage control algorithm implementation.</li>
<li>Investigates the feasibility of applying scientific and mathematical control design principles and concepts to potential inventions and products. Plans and executes laboratory research pertaining to algorithm design and validation.</li>
<li>Designs and builds tools that allow debugging, analysis and performance evaluation of algorithms. Determines the root cause for algorithm failure in products in the manufacturing factory and in fielded units in high-level escalations.</li>
<li>Travels to customer sites to perform upgrades, troubleshooting and repair of systems.</li></ul>
<div><div><b>QUALIFICATIONS</b></div>
<ul><li>Requires minimum of a Bachelors’ degree in EE, ME, Physics or other relevant engineering or physical science fields.</li>
<li>MS, ME in engineering or physics preferred, specialization in signal processing, control systems, or system engineering is a plus.</li>
<li>Experience with high-tech industry developing complex industrial products and solutions e.g. semiconductor capital equipment, aerospace, automotive, process industries, telecommunications, etc. is preferred.</li>
<li>Experience in engineering research and/or development:
</li><ul><li>5 years’ experience with a Bachelor’s degree</li>
<li>3 years’ experience with a Master’s degree</li></ul>
<li>Excellent written and verbal communication skills.</li>
<li>Ability to translate, statistically analyze data and effectively report problems through written and/or graphical formats.</li>
<li>Excellent customer service skills, with an advanced understanding of customer relationship building.</li>
<li>Ability to use MS Word, Excel, PowerPoint, and electronic e-mail systems.</li>
<li>Has operated as key technical contributor in multiple successfully completed projects.</li>
<li>Ability to carry a product design from conception into production.</li>
<li>Ability to design and analyze feedback control systems using classical and modern techniques and theories.</li>
<li>Ability to identify, define, and extract signals and KPIs (key performance indicator) using advanced signal and image analysis techniques.</li>
<li>Experience designing automation state management systems of significant complexity.</li>
<li>Excellent knowledge of and experience with MATLAB, Simulink, and Stateflow.</li>
<li>Working knowledge of Python and C/C++ desirable.</li>
<li>Understanding of embedded software systems a plus.</li></ul>
<br>
<div><b>PHYSICAL DEMANDS AND WORK ENVIRONMENT</b></div>
<div>The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.</div>
<ul><li>While performing the duties of this job, the employee routinely is required to sit; walk; talk; hear; use hands to keyboard, finger, handle, and feel; stoop, kneel, crouch, twist, reach, and stretch.
</li><li>The employee is occasionally required to move around the campus.
</li><li>The employee may occasionally lift and/or move up to 20 pounds.</li>
<li>May require national and international travel, dependent on business needs, up to 25% of the time.</li>
<li>Specific vision abilities required by this job include close vision, color vision, peripheral vision, depth perception, and ability to adjust focus.</li>
<li>Can work under deadlines.</li>
<li>The environment generally is moderate in temperature and noise level.</li>
<li>Must be able to read and interpret data, information, and documents.</li>
<li>Can observe and respond to people and situations and interact with others encountered in the course of work.
</li><li>Can learn and apply new information or skills.
</li><li>Requires working in a manufacturing clean room environment occasionally.</li>
<li>Requires working with CO2 Lasers and high pressure droplet generator in noisy environments (requiring ear protection) and potential radiation hazards (requiring eye and skin protection).</li></ul>
<br>
<div>We offer competitive salaries and benefits including medical, dental, vision, 401(K), and FSAs.
</div><br>
<div><i>We are committed to leveraging the diverse backgrounds, perspectives, and experiences of our workforce to create opportunities for our people and the business. EOE</i></div></div></div></span>",52 reviews,"San Diego, CA"
Principal Data Scientist,CA Technologies,"<span id=""job_summary"" class=""summary""><div><p>Do you want to help eliminate barriers between ideas and business outcomes? We want you to bring your unique experiences and creative ideas to the table. CA Technologies provides software and solutions that help our customers to develop, manage, and secure complex IT environments to increase productivity and enhance competitiveness in their businesses. It’s our aim to encourage global collaboration and results-oriented innovation, while supporting and developing our talented people and our communities. CA Technologies will empower you to drive authentic success, for both the business and yourself in the application economy.</p>
<p><b>Do You Love Data and Advanced Analytics? Then Come Innovate with Us!</b></p>
<p>Your day will involve examination, investigation, and assessment of data with the goal of deriving insights and operationalizing these insights into meaningful applications.</p>
<p><b>About CA</b></p>
<p>CA Technologies is a Fortune 1000 company with a startup mentality – and we’re searching for incredible, bright talent to dominate in the marketplace. Sure, CA has been a leading software company for nearly four decades, with a global customer base that includes the majority of the Fortune 2000 - but what excites us today is the opportunity to redefine the future of our industry in the age of the cloud, mobile, social and big data. We have a daring vision and a powerful, expanding solution set that helps the world’s most successful companies realize their boldest objectives. For more information, visit [GH1] www.CA.com/innovation</p>
<p><b>About the Role</b></p>
<p>You will solve large-scale complex problems while helping set product direction as a member of a team that focuses on the application of data mining/machine learning techniques on large datasets for various customer and internal projects.</p>
<p>Duties for this position will also include analyzing data of all forms and sizes; building analytical models to solve complex business problems across various domains, researching and evaluating new algorithms and technologies and presenting solutions and/or findings to internal and external teams.</p>
<p><b>Key Responsibilities</b></p>
<ul><li>Execute on data-intensive analytical projects as a member of the team</li>
<li>Set up data analysis environments to ensure reliable backups and integrity</li>
<li>Keep analytical computing / predictive modeling / data analysis skills current</li>
<li>Deliver on projects for timely conclusion</li>
<li>Create reports and charts to communicate data analysis results to the customer</li></ul>
<br>
<p><b>How You'll Stand Out</b></p>
<ul><li>Strong scientific-computational skills with an ability to think about problems differently; investigating new techniques and technologies to solve a problem</li>
<li>Extensive experience specifying and building advanced analytics</li>
<li>Ability to think in statistical and probabilistic terms</li>
<li>Extensive experience with statistical and machine learning offerings in one or more of the following (SAS, R, Mahout, Matlab, Python, Octave, etc.)</li>
<li>Familiarity with UNIX and at least one major programming language such as C, C++, Java, or SAS</li>
<li>Experience working with large data sets within distributed computing environments (Map/Reduce, Hadoop, Hive, etc.)</li>
<li>Excellent programming skills with knowledge of multiple operating systems, scripting languages, and the ability to deal with very large volumes of data</li>
<li>Ability to communicate complex quantitative analysis in a clear, precise, and actionable manner with excellent interpersonal, written, and verbal communication skills</li>
<li>Ability to think analytically, write and edit technical material, and relate statistical concepts and applications to various audiences</li>
<li>Ability to work independently and within a team environment</li>
<li>PhD or Master’s level degree in Computer Science, Statistics, Mathematics, Engineering or Physical Sciences</li></ul>
<br>
<p><b>More About Working at CA:</b></p>
<p>CA has earned scores of Workplace Excellence awards in the last few years – and there’s a reason for that. Here you’ll have the opportunity to eliminate barriers for our customers, and earn a competitive compensation and total rewards package – all while pushing the boundaries of what’s possible by collaborating with a diverse team of global innovators. In short, CA’s fun, diverse, and fast-paced culture has put us on the map as one of the best employers in Information Technology.</p>
<p>We offer competitive salary, company-sponsored premium Medical/Prescription &amp; Dental Plans, company-paid Holidays, Vacation, Anniversary Service and Sick Days, 401(k) Plan, Education/Training Reimbursement, Charitable Gift Program, Adoption Assistance Program.</p>
<p>Learn more about CA Technologies and this opportunity now at http://ca.com/careers</p>
<p>We and all of our subsidiaries are equal opportunity employers. As such, it is our corporate policy to fill positions with qualified candidates regardless of the candidate’s race, color, sex, age, religion, ancestry, national origin, citizenship status, marital status, sexual orientation, gender identity, genetic information, disability, pregnancy, military status, veteran status or any other protected group status.</p>
<p><b><i>Note to Recruiters and Placement Agencies</i></b><i>: We do not accept unsolicited agency resumes. Please do not forward unsolicited agency resumes to our website or to any of our employees. We will not pay fees to any third party agency or firm and will not be responsible for any agency fees associated with unsolicited resumes. Unsolicited resumes received will be considered our property and will be processed accordingly.</i></p>
<p><i>If you require an accommodation with the online application process, please contact Talent Acquisition at 1-800-454-3788.</i></p>
<p>EOE/Min/Women/Veterans/Disabled</p></div></span>",726 reviews,"San Diego, CA"
Bioinformatics Scientist 1 – Algorithm and Data Science,Illumina,"<span id=""job_summary"" class=""summary""><div><p>Our group is focused on tackling some of the most challenging problems in cancer genomics spanning diverse research and clinical applications. If you are an expert in one or more of the following areas, we would like to hear from you.
</p><br>
<p><b>Responsibilities
</b></p><ul><li><b>Algorithm development </b>– develop algorithms for analysis of vast amount of studies across various data types and platforms for translational research and clinical applications.
</li><li><b>Data analysis </b>– apply best practice statistical/computational methods to analyze large-scale biological data, such as gene expression, copy-number, mutation, methylation, next-generation sequencing, etc. in a fast-paced product development environment.
</li><li><b>Pipeline development </b>– design and develop pipelines to address novel analytical challenges and to automate established analysis so that thousands of studies can be analyzed in a robust manner
</li></ul><br>
<p><b>Required Skills and Experience
</b></p><ul><li>PhD in Bioinformatics, Computational Biology, Biostatistics, Computer Science
</li><li>Expert knowledge on current bioinformatics/genomics/proteomics resources available at NCBI, Ensembl, UCSC, Broad Institute, etc.
</li><li>Deep knowledge in cancer biology, immuno-oncology and NGS assay development
</li><li>Expert in Python, R, high performance computing, and/or C/C++/C#
</li><li>Strong experience in statistics, data analysis and pipeline development
</li><li>Ability to contribute independently and collaboratively, and to excel in a fast-paced environment
</li><li>Superior written and verbal communication skills
</li></ul><br>
<p><b>Desired Skills and Experience
</b></p><ul><li>Background in oncology or clinical experience
</li><li>Strong background in machine learning
</li></ul><br>
<br>
<br>
Illumina believes that everyone has the ability to make an impact, and we are proud to be an equal opportunity employer committed to providing employment opportunity regardless of sex, race, creed, color, gender, religion, marital status, domestic partner status, age, national origin or ancestry, physical or mental disability, medical condition, sexual orientation, pregnancy, military or veteran status, citizenship status, and genetic information. If you have a disability or special need that requires accommodation, please contact us at applications@illumina.com. To learn more, visit: https://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf</div></span>",133 reviews,"San Diego, CA"
Experienced Data Scientist,BAE Systems,"<span id=""job_summary"" class=""summary""><div><p>Leverage technical and analytical expertise to explore and examine data from multiple disparate sources with the goal of discovering patterns and previously hidden insights, which in turn can provide a competitive advantage or address a pressing business problem. Leverage knowledge of advanced mathematical and statistical concepts and computer science expertise to bridge the gap between technologists and mathematicians and ensure that software solutions meet analytic requirements. Contribute as part of the software product development team with responsibility across the entire life cycle, including requirements gathering and analysis, process and systems definition, data analysis, presentation of analysis to peers, leadership, and customers in a format that is understandable and supports decision making.</p><br>
<b>
Typical Education &amp; Experience</b><br>
<br>
Typically a Bachelor's Degree and 8 years work experience or equivalent experience<br>
<br>
<b>Required Skills and Education</b><br>
<br>
<ul><li>Strong statistical data analysis background and a good understanding of a variety of algorithms and techniques</li><li>Experience in designing and implementing optimized strategies for data acquisition, ingest (batch and streaming), storage, and processing of structured and unstructured data</li><li>Experience with designing and implementing machine learning, data mining, statistics, or graph algorithms</li><li>Experience with at least one statistical programming language such as Matlab, R and Python</li><li>Experience with Big Data, Cloud computing technologies, NoSQL systems, or Lambda architectures</li><li>Experience with general purpose object–oriented programming, including Java, Python, Scala, or JavaScript and ability to build working prototype solutions</li><li>Excellent verbal and written communication skills</li><li>Experience with source control and dependency management software, including Git or Maven</li><li>Experience in developing solutions with and integrating and extending free and open–source software (FOSS) or COTS products</li><li>Ability to obtain a security clearance</li><li>BS degree required</li></ul>
<br>
<br>
<b>Preferred Skills and Education</b><br>
<br>
<ul><li>Experience with Department of Defense (Army/Navy/Air force/etc.) and Intelligence Agencies</li><li>Experience with Amazon Web Services (AWS) or Microsoft Azure Cloud services</li><li>Experience with the Big Data ecosystem, including HDFS, Hive, HBase, Accumulo, or Spark</li><li>Experience with Storm, Kafka, NiFi, or similar ETL frameworks</li><li>Experience with writing analytics using MapReduce, Pig, SQL, or SparkSQL</li><li>MS degree in CS or Software Engineering</li></ul>
<br>
<br>
<b>About BAE Systems Electronic Systems</b><br>
<br>
BAE Systems is a premier global defense and security company with approximately 90,000 employees delivering a full range of products and services for air, land and naval forces, as well as advanced electronics, security, information technology solutions and customer support and services.<br>
The Electronic Systems (ES) sector spans the commercial and defense electronics markets with a broad portfolio of mission-critical electronic systems, including flight and engine controls; electronic warfare and night vision systems; surveillance and reconnaissance sensors; secure networked communications equipment; geospatial imagery intelligence products and systems; mission management; and power-and energy-management systems. Headquartered in Nashua, New Hampshire, ES employs approximately 13,000 people globally, with engineering and manufacturing functions primarily in the United States, United Kingdom, and Israel.</div></span>","3,090 reviews","San Diego, CA 92127"
Sr. Applied Scientist,Amazon.com,"<span id=""job_summary"" class=""summary""><div><h2 class=""jobSectionHeader""><b>Job Description
</b></h2><div><div><div><br>
Position location flexible (Seattle, San Diego, Bay Area)<br>
<br>
How can we improve the customer experience by tailoring what we display on our pages based on available data? How do we build various data models that helps us innovate different ways to enhance customer experience? What is the relationship to what the customer actually does on the site vs., what they actually buy? How do we do all of this without asking the customer a single question? Sounds fun?<br>
<br>
The answers to these questions and others like them are core to helping Amazon Kindle business in many ways, including customer experience, recommendations, and others. Amazon Kindle is a revolutionary reading device, the #1 best-selling product on all of Amazon, and one of the most innovative and fast growing businesses at Amazon. Our team develops cutting edge Kindle applications for personal computers and mobile devices, which blend seamlessly into the Kindle suit of services and are at the forefront of reinventing our customer’s reading experience. The Digital store team in Kindle Organization is charged with creating rich experiences that enhance what the customer sees and experiences on our storefront pages.<br>
<br>
Using Amazon’s large-scale computing resources to build models describing best suited recommendations and work with domain experts and engineers to help turn those models into production solutions. You will participate in the Amazon ML community and mentor Applied Scientists and software development engineers with a strong interest in and knowledge of ML. Your work will directly benefit customers and the Amazon Kindle business. We are looking for passionate, hard-working, and talented Applied scientist who have experience building mission critical, high volume applications that customers love. You will have an enormous opportunity to make a large impact on the design, architecture, and implementation of cutting edge products used every day, by people you know.<br>
</div></div></div><h2 class=""jobSectionHeader""><b>Basic Qualifications
</b></h2><div><div><div><b>Basic Qualifications</b><br>
<ul><li>MS. in Computer Science, Machine Learning, Operational Research, Statistics or a related quantitative field</li><li>At least 5+ years of hands-on experience in predictive modeling and analysis</li><li>At least 5+ years algorithm development experience</li><li>At least 2+ years with Java, C++, or other programming language, as well as with R, MATLAB, Python or similar scripting language</li></ul><br>
<br>
</div></div></div><h2 class=""jobSectionHeader""><b>Preferred Qualifications
</b></h2><div><div><div><b>Preferred Qualifications</b><br>
The ideal candidate will have a PhD in Mathematics, Statistics, Machine Learning, or a related quantitative field, and 7+ years of relevant work experience, including:<br>
<ul><li>Strong communication and data presentation skills</li><li>Significant peer reviewed scientific contributions in relevant field.</li><li>Extensive experience applying theoretical models in an applied environment.</li><li>Expertise on a broad set of ML approaches and techniques, ranging from Artificial Neural Networks to Bayesian Non-Parametrics methods.</li><li>Strong Experience in Structured Prediction and Dimensionality Reduction.</li><li>Expert in more than one more major programming languages (C++, Java, or similar) and at least one scripting language (Perl, Python, or similar).</li><li>Proven track record of production achievements in language, search and personalization.</li><li>Strong fundamentals in problem solving, algorithm design and complexity analysis.</li><li>Strong personal interest in learning, researching, and creating new technologies with high commercial impact.</li><li>Experience with defining organizational research and development practices in an industry setting.</li><li>Proven track in leading, mentoring and growing teams of scientists (teams of five or more scientists).</li></ul><br>
<i>
Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.</i></div></div></div></div></span>","25,902 reviews","San Diego, CA"
