position,company,description,numreview,location
Data Scientist,NORC at the University of Chicago,"<span id=""job_summary"" class=""summary""><div><div><div><div><div><div><p>In your role as Data Scientist, you will play a key role on the NORC Labs team, helping to deliver new and innovative solutions for our clients, and developing new solutions. You will also work collaboratively with other teams across NORC to help drive innovative work. Tasks can include the development of statistical methodology and computational strategies for data mining, predictive and simulation modeling, forecasting, and data visualization.</p><p>
If you are interested in using data science to solve some of our client’s hardest problems in novel and innovative ways? If you’re excited by some of our previous projects including building an analytics tool to help healthcare organizations sign up the right mix of physician specialties to serve the specific health care needs of a local community, developing a model to proactively identify students at risk of failing to graduate or meet required literacy standards, or using data to help fight the scourge of human trafficking; this just might be the role for you.</p>
</div>
</div><br>
<div><div><b>DEPARTMENT: NORC LABS</b></div>
<div><p>Launched in 2015, NORC Labs activates and applies innovation across NORC’s diverse offerings, operating as a fast-moving start-up nested within one of the world’s most trusted research institutions. NORC Labs combines the best ideas from NORC’s research and technology experts with a deep understanding of client needs and market trends to develop and incubate the most effective client solutions.</p><p>
As NORC’s innovation hub, NORC Labs drives the creation and introduction of cutting-edge client solutions, as well as guiding the evolution and enhancement of NORC’s existing services and offerings. As we develop our team’s ideas into new or improved offerings, we’re also constantly monitoring and drawing on advances in data collection, analytics, and technology to deliver the best available solutions to our clients</p>
</div>
</div><br>
<div><div><b>RESPONSIBILITIES:</b></div>
<div><ul><li>Support the development of the strategy and vision for large data analysis projects</li><li>May manage both the activities and the work product of data analysts</li><li>Provide input and guidance to task leaders especially regarding data acquisition, data analysis, and overall data visualization</li><li>Design, develop, and deploy algorithms, models, visualizations, and work flows to discover valuable information in large volumes of data from various sources</li><li>Bring structure to large data sets</li><li>Evaluate the data, construct models, create business applications, and work closely with organizational leaders to provide input into strategic business implications for the organization and its clients</li></ul>
</div>
</div><br>
<div><div><b>REQUIRED SKILLS:</b></div>
<div><ul><li>Master’s or Doctoral Degree in Math, Statistics, Computer Science or related field</li><li>Knowledge required: Strong foundation in areas of statistics, mathematics, computer science, machine learning, and/or deep learning</li><li>Skills required: Strong problem solving skills, quantitative/qualitative analysis skills</li><li>Abilities required: Ability to organize and prioritize work assignments to meet project needs</li><li>At least 5 years of experience in positions of increasing responsibility, working with large datasets and conducting statistical and quantitative modeling, melding analytics with strong programming, data mining, clustering and segmentation</li><li>Experience in client communications and relationship management; strong technical writing skills, strong verbal skills; and data visualization/presentation.</li><li>Able to explain technology, techniques and approaches to others.</li><li>Strong data programming skills such as: SQL, Python, R, Hadoop, Hive, MapReduce, and/or other large data systems</li><li>Strong ability to rapidly prototype solutions to iteratively meet client needs</li><li>Experience in cloud hosting technologies, such as AWS, ideally including AWS Redshift</li><li>Strong data visualization or storytelling skills, demonstrated ability to use data visualization tools such as Tableau (preferred) or other visualization technologies such as D3, Shiny, etc</li></ul>
Preference for domain expertise in healthcare preferred</div></div></div></div></div></div></span>",370 reviews,"Chicago, IL"
Data Scientist,Capax Global LLC,"<span id=""job_summary"" class=""summary""><div><div><div><p>Do you want to work at the forefront of artificial intelligence and machine learning? CapaxGlobal has a significant data analytics and management presence across many industries. With that footprint comes massive amounts of data that can inform us about markets and ways to improve our client business practices. This position will be part of the Data Science and Machine Learning team and will bring strong quantitative skills to our data science capabilities. You work in a multidisciplinary team exploring, connecting and mining internal data sources and will develop data models using algorithms for pattern detection and forecasting. In this position you will be managing projects that use advanced analytics techniques, such as optimization, forecasting, machine learning, predictive analytics, and statistical analysis, to develop solutions that help deliver significant value to a variety of Capax’s partners and clients. Candidates will be exposed to a wide spectrum of high visibility projects ranging from sales effectiveness, competitive intelligence, fraud detection, time series forecasting, operational efficiency, sourcing and procurement, supply-chain optimization and financial analysis.</p></div><div><br>
<b>
Location:</b> Chicago IL | Philadelphia PA | Remote</div><div><br>
<b>Travel:</b> Up to 30%</div></div>
<div><div><div><div><div><h2 class=""jobSectionHeader""><b>Skills</b></h2></div></div><div><div><div><h3 class=""jobSectionHeader""><b>
Responsibilities</b></h3><ul><li>
Develop and code models by applying algorithms to large structured as well as unstructured data sets for our more complex projects. Develop visualization products to share analysis across a large group of business users.</li><li>
Design strategies and propose algorithms to analyze and leverage data from existing as well as new data sources.</li><li>
Continuously seek out industry best practices and develop skills to create new capabilities for data analytics at clients to improve business decisions.</li><li>
Network with business stakeholders to develop a pipeline of data science projects aligned with business strategies. Translate complex and ambiguous business problems into project charters clearly identifying technical risks and project scope.</li><li>
Participate on cross-disciplinary project team of database specialists, data scientists, and business subject-matter experts to complete project deliverables.</li></ul></div><div><h3 class=""jobSectionHeader""><b>
Qualifications</b></h3><ul><li>
Bachelor’s degree from an accredited college/university in Computer Science, Computational Linguistics, Statistics, Mathematics, Engineering, Bioinformatics, Physics, Operations Research or related fields.</li><li>
Master’s degree in data science, applied mathematics, or bioinformatics preferred.</li><li>
Minimum 6 years relevant work experience (if Bachelor’s degree) or minimum 3 years relevant work experience (if Master’s degree) with a proven track record in driving value in a commercial setting using data science skills.</li><li>
In-depth knowledge of various modeling algorithms e.g. Linear, GLMs, trees based models, neural networks, clustering, PCA, and time series models.</li><li>
Proficiency in R (e.g. ggplot2, cluster, dplyr, caret), Python (e.g. pandas, scikit-learn, bokeh, nltk), Spark – MLlib, H20, or other statistical tools.</li><li>
Minimum 2 years experience working in a data science or machine learning environment.</li><li>
In-depth knowledge of databases, data modeling, Hadoop, and distributed computing frameworks.</li><li>
Experience in software development environment, Agile, and code management/versioning (e.g. git).</li><li>
Strong EDA skills and experience/knowledge.</li><li>
Ability to understand complex and ambiguous business needs and applying the right tools and approaches.</li><li>
Collaborative team player.</li><li>
Excellent communication skills, both written and verbal.</li><li>
Experience developing and testing machine learning and/or statistical projects.</li><li>
Strong presentation skills. Ability to present statistical results to lay persons in an easy to understand way.</li><li>
We are looking for all levels of data science experience, jr through sr.</li></ul></div></div></div></div></div></div></div></span>",,"Chicago, IL"
Natural Language Processing Data Scientist,Tempus,"<span id=""job_summary"" class=""summary""><div><p>Passionate about making a difference in the world of cancer genomics?</p>
<p>With the advent of genomic sequencing, we can finally measure and process our genetic makeup. We now have more data than ever before but providers don't have the infrastructure or expertise to make sense of said data, let alone use their extensive patient charting to complement the data achieved through genome sequencing. Here at Tempus, we believe that the wholistic approach for the detection and treatment of cancer lies in the deep understanding of molecular activity coupled with the ability to use the latest NLP and predictive modeling techniques to extract information and insights from the patient’s chart.</p>
<p>Our Natural Language Processing Data Scientist will use state of the art techniques to process and analyze vast amounts of clinical data in a way it has never been done before. They’ll also help create a highly scalable infrastructure to house billions of records from the ground up. We’re looking for someone who will collaborate with product, research, and business development teams to develop the most advanced data fusion platform in cancer care.</p>
<p>What you'll do:</p>
<ul><li>Design and develop clinical NLP methods that ingest large unstructured clinical data sets, separate signal from noise, and provide personalized insights at the patient level that directly improve our analytics platform</li>
<li>Develop innovative methods for processing and storing data</li>
<li>Interrogate analytical results to resolve algorithmic success, robustness and validity</li>
</ul><p>Requirements:</p>
<ul><li>PhD or equivalent work experience in statistics, computer science, bioinformatics or related field</li>
<li>Experience with a variety of NLP methods for information extraction, topic modeling, parsing, and relationship extraction</li>
<li>Familiarity with developing, deploying, and maintaining production NLP models with scalability in mind</li>
<li>Experience with knowledge databases and language ontologies</li>
<li>Quantitative training in probability, statistics and machine learning
<ul><li>Classical statistical tools, machine learning algorithms, ensemble methods</li>
</ul></li><li>Analytical development and programming skills
<ul><li>Python, R, Javascript, or Lua</li>
<li>Reproducible research methods</li>
</ul></li><li>Experience in genomics is a plus, especially experience with next-generation sequencing data processing and modeling</li>
<li>Goal-oriented thinking</li>
<li>Great problem solving skills</li>
<li>Self-driven and works well in an interdisciplinary team with minimal direction</li>
<li>Experience with communicating insights and presenting concepts to a diverse audience</li></ul></div></span>",17 reviews,"Chicago, IL 60654"
DATA SCIENTIST,Trading Technologies,"<span id=""job_summary"" class=""summary""><div><p>We are seeking a strong data science generalist with a background in computer science and either applied math or statistics to join our team of artificial intelligence system developers as a <b>Data Scientist</b>.</p>
<p>Responsibilities:
</p><p>In this role, you can expect the full lifecycle of data science — everything from project ideation and data collection through modeling, results presentation, productionization, and model refinement.</p>
<p>Qualifications:
</p><p>Programming:</p>
<ul>
<li>Java — You don’t have to be a Java expert (we have plenty of these), but you should be capable of reading and processing data from a text file or REST endpoint, writing classes, working with time-series data, and writing jUnit tests.</li>
<li>Python, pandas, scikit-learn, and your favorite data visualization library.</li>
<li>Experience processing data using a “big data” platform that uses the map-reduce processing pattern (Spark, Hadoop, H2O, dask, etc.).</li>
<li>Experience processing large CSV and JSON datasetsMachine learning:</li>
<li>Be able to explain the math and logic of your work to non-technical people in a way that they understand. This is admittedly a “squishy” requirement, but it is the most important requirement of all – because selling any AI product requires establishing customer trust in our methods. For example, the typical customer of our trade surveillance product is a lawyer, and the system is explicitly designed as a first step towards detecting potentially criminal behavior. We explain our calculations to customers in English, math, and code.</li>
<li>Be able to work with various model types: classifier models, regression models, unsupervised models, time-series models, etc..</li>
<li>Be familiar with common modeling trade-offs.</li>
</ul><p>Math and Statistics:</p>
<ul>
<li>Basic linear algebra – mainly matrix math and solving systems of linear equations.</li>
<li>Multivariable calculus.</li>
<li>How to explore the statistical properties of data — visualize the distribution of attributes/features, test for Gaussian distribution, test for stationarity, check independence assumptions, detect outliers, etc..</li>
<li>Familiarity with Markov processes.</li>
</ul><p>Other:</p>
<ul>
<li>Familiarity with Git and Github.</li>
<li>Basic familiarity with Linux and SSH.</li>
<li>Basic familiarity with data security/privacy practices. In our surveillance product, our input data is confidential; our outputted results are extremely confidential.</li>
<li>You take ownership of your work, for good and for ill.</li>
<li>You learn independently, yet aren’t afraid to ask for help when stuck.</li>
<li>Nice-to-haves, in descending order of necessity:</li>
<li>Any experience with the H2O.ai platform (distributed in-memory machine learning).</li>
<li>Trading industry experience and/or familiarity.</li>
<li>Any experience communicating/presenting to C-level executives and/or lawyers.</li>
<li>Familiarity with network analysis.</li>
<li>Familiarity with signal processing.</li>
<li>Familiarity with hidden Markov models.</li>
<li>Other data science languages: R, Scala, etc..</li>
<li>Familiarity developing multithreaded distributed systems.</li>
<li>Any experience with differential equations (especially stochastic PDEs) may eventually be useful.</li></ul></div></span>",11 reviews,"Chicago, IL"
Data Scientist,Epsilon,"<span id=""job_summary"" class=""summary""><div><div><p>As a Data Scientist in our Decision Sciences R&amp;D organization, you will be responsible for researching and building machine learning and natural language processing applications to extend Conversant’s personalization platform. Conversant’s business is based on analyzing anonymized data at internet scale and evaluating more than 1 trillion advertising opportunities per month in real-time. You will work on real-world problems as part of our highly collaborative R&amp;D team, and your solutions will directly and rapidly impact our business. This includes researching and developing models, algorithms, and applications; analyzing raw source data and derived data; presenting findings; and building tools and analyses for new and existing products.</p>
<p><b>RESPONSIBILITIES</b></p>
<ul><li> Develop an understanding of Conversant’s personalization platform and proprietary datasets</li></ul>
<ul><li> Use your machine learning expertise to research and recommend the best approaches to solving our technology and business problems</li></ul>
<ul><li> Design, implement, and validate your solutions in Apache Spark, Apache Hive, using Scala or Python on a large state-of-the-art cluster</li></ul>
<ul><li> Work with our Engineering teams to integrate your solutions into Conversant’s platform</li></ul>
<ul><li> Participate fully in our collaborative approach to research and applications projects</li></ul>
<p><b>
REQUIREMENTS</b></p>
<ul><li> A Ph.D., in Computer Science, Statistics, Linguistics, Electrical Engineering, Mathematics, Economics, Physics, or a related scientific discipline</li></ul>
<ul><li> Research experience and coursework in Machine Learning</li></ul>
<ul><li> Fluency in programming</li></ul>
<ul><li> Experience with large data sets</li></ul>
<ul><li> Strong understanding of statistics and modeling techniques</li></ul>
<ul><li> Desire to work in a highly collaborative environment
</li></ul><p><b>ADDITIONAL USEFUL BUT NOT REQUIRED SKILLS</b></p>
<ul><li> Experience with distributed computing, such as Hadoop, Spark, or related technologies</li></ul>
<ul><li> Familiarity with SQL, Scala, Python, or Java</li></ul>
<ul><li> Experience with Natural Language Processing, Information Retrieval, or Recommender Systems</li></ul>
<ul><li> Experience with mathematical optimization, control theory, time-series analysis</li></ul><br>
</div><div><b>
Conditions of Employment</b><div>
All job offers are contingent upon successful completion of certain background checks which unless prohibited by applicable law may include criminal history checks, employment verification, education verification, drug screens, credit checks, DMV checks (for driving positions only) and fingerprinting.</div><b>
About Conversant</b><div>
Conversant, Inc. is the leader in personalized digital marketing. Conversant helps the world's biggest companies grow by creating personalized experiences that deliver higher returns for brands and greater satisfaction for people. We offer a fully integrated personalization platform, personalized media programs and the world's largest affiliate marketing network - all fueled by a deep understanding of what motivates people to engage, connect and buy. For more information, please visit www.conversantmedia.com.</div><b>
Great People, Deserve Great Benefits</b><div>
We know that we have some of the brightest and most talented associates in the world, and we believe in rewarding them accordingly. If you work here, expect competitive pay, comprehensive health coverage, and endless opportunities to advance your career. From tuition reimbursement to scholarship programs to employee stock purchase plans and 401(k)s, we offer associates a variety of benefits that work as hard for them as they work for us.</div><b>
About Epsilon</b><div>
Epsilon® is an all-encompassing global marketing innovator. We provide unrivaled data intelligence and customer insights, world-class technology including loyalty, email and CRM platforms and data-driven creative, activation and execution. Epsilon’s digital media arm, Conversant, is a leader in personalized digital advertising and insights through its proprietary technology and trove of consumer marketing data, delivering digital marketing with unprecedented scale, accuracy and reach through personalized media programs and through CJ Affiliate, one of the world’s largest affiliate marketing networks. Together, we bring personalized marketing to consumers across offline and online channels, at moments of interest, that help drive business growth for brands. Recognized by Ad Age as the #1 World’s Largest CRM/Direct Marketing Network, #1 Largest U.S. Agency from All Disciplines and #1 Largest U.S. Mobile Marketing Agency, Epsilon employs over 8,000 associates in 70 offices worldwide. Epsilon is an Alliance Data company. For more information, visit www.epsilon.com and follow us on Twitter @EpsilonMktg.</div><div>
Alliance Data provides equal employment opportunities without regard to race, color, religion, gender, age, national origin, disability, sexual orientation, gender identity, veteran status or any other characteristic protected by law.</div><div>
Alliance Data participates in E-Verify</div><div><b>
For San Francisco Bay Area</b>:</div><div>
Alliance Data will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of San Francisco Police Code Sections 4901 - 4919, commonly referred to as the San Francisco Fair Chance Ordinance #LI-RPM</div><br>
</div><div>
Primary Location: USA - United States-3090 - Illinois-50082 - Chicago-L5-Chicago, IL - CNVR</div><div>
Work Locations: L5-Chicago, IL - CNVR Chicago 60606</div><div>
Job: Analytics</div><div>
Organization: Epsilon</div><div>
Schedule: Regular</div><div>
Job Type: Full-time</div><div>
Job Posting: Jul 13, 2018, 3:35:13 PM</div><div>
Division: Conversant</div><div>
RI: RM</div></div></span>",244 reviews,"Chicago, IL"
Data Scientist or Data Scientist Lead-PS10595,"Anthem, Inc.","<span id=""job_summary"" class=""summary""><div><div><b>Anthem, Inc.</b> is one of the nation's leading health benefits companies and a Fortune Top 50 company. At Anthem, Inc., we are working together to transform health care with trusted and caring solutions.
</div><div>Bring your expertise to our innovative culture where you will have the opportunity to make a difference in people’s lives, and to take your career further than you can imagine.
</div><br>
<div><b>DATA SCIENTIST or DATA SCIENTIST LEAD</b></div>
<br>
<div>Position must be located in<b> Chicago, IL or Atlanta, GA.</b></div>
<br>
<div>Responsible for the development and implementation of machine learning algorithms and techniques to solve business problems and optimize member experiences. Primary duties may include are but not limited to: Design machine learning projects to address specific business problems determined by consultation with business partners. Work with data-sets of varying degrees of size and complexity including both structured and unstructured data. Piping and processing massive data-streams in distributed computing environments such as Hadoop to facilitate analysis. Implements batch and real-time model scoring to drive actions. Develops proprietary machine learning algorithms to build customized solutions that go beyond standard industry tools and lead to innovative solutions. Develop sophisticated visualization of analysis output for business users. Publish results and address constraints/limitations with business partners. Provides high-level controllership/evaluation of all output produced to ensure established targets are met. Determines the continuous improvement opportunities of current predictive modeling algorithms. Proactively collaborates with business partners to determine identified population segments and develop actionable plans to enable the identification of patterns related to quality, use, cost and other variables.</div></div> <p>Requires MA/MS in Statistics, Computer Science, Mathematics, Machine Learning, Econometrics, Physics, Biostatistics or related Quantitative disciplines. 3-5 years experience in predictive analytics or equivalent, or any combination of education and experience which would provide an equivalent background. PhD and experience in the healthcare sector preferred. 
•Advanced expertise with software such as Python, R, SAS. Programming experience in Python is strongly preferred.
•Experience working with distributed computing environment such as Hadoop. 
•Intermediate to Advanced knowledge of using with Hive, Impala or Apache Spark.
•Intermediate to Advanced knowledge of data extraction and manipulation using SQL. 
Experience in identifying healthcare fraud, waste and abuse is preferred.
Anthemis ranked as one of America's Most Admired Companies among health insurers by Fortune magazine, and is a 2013 DiversityInc magazine Top 50 Company for Diversity. To learn more about our company please visit us at www.antheminc.com/careers. An Equal Opportunity Employer/Disability/Veteran</p></span>","3,182 reviews","Chicago, IL 60654"
Principal Data Scientist (Chicago),QuantumBlack,"<span id=""job_summary"" class=""summary""><div><p>QuantumBlack helps companies use data to drive decisions. We combine business experience, expertise in large-scale data analysis and visualization, and advanced software engineering know-how to deliver results. From aerospace to finance to Formula One, we help companies prototype, develop, and deploy bespoke data science and data visualisation solutions to make better decisions.<br>
</p><br>
<p><b>Your Experience</b></p><p>
You will bring an exceptional academic background in a technical field combined with experience in developing and applying data science methods in a business context. You share our curiosity for new methods and technologies, and our enthusiasm for data science challenges. You have a proven track record in building and leading teams of high-caliber data scientists.</p><p><b>
What You'll Do</b></p><ul>
<li>Help to drive the analytical scope and method for projects, including formulating and shaping the models</li>
<li>Use Math, Stats and Machine learning to derive key insights across various industry sectors including sports, pharma, automotive and high-tech.</li>
<li>Lead the data science aspect of multiple engagements at the same time</li>
<li>Work on complex data sets from some of the world’s largest organizations</li>
<li>Work in a multi-disciplinary environment mixing highly skilled people in data science, data engineering and design</li>
<li>Build strong links with the academic world and constantly share ideas and stay ahead of the curve on the latest methods</li>
<li>Help grow and shape an elite team of world-class data scientists</li>
</ul><p><b>Requirements</b></p><ul>
<li>Deep experience in statistical modelling, machine learning and deep learning techniques/frameworks</li>
<li>Proven record of applying data science methods to business problems</li>
<li>Strong presentation and communication skills, with a knack for explaining complex analytical concepts to people from other disciplines</li>
<li>Programming experience in at least 2 of the following language: R, Python, Scala</li>
<li>Educated to an MSc or PhD level (preferred) in the field of Computer Science, Machine Learning, Applied Statistics or Mathematics</li>
<li>Team leadership, mentoring and project management skills</li></ul></div></span>",,"Chicago, IL"
ASSOCIATE DATA SCIENTIST,Centro,"<span id=""job_summary"" class=""summary""><div><p>We’re here to ensure the advertising industry and the people in it are healthy and engaging positively and effectively with those around them. We’re here, ultimately, to improve the lives of people working in the media industry. And we take our responsibility seriously.
<br>
</p><p><b>CORE RESPONSIBILITIES
</b><br>
</p><ul><li>Rapidly develop proof-of-concept machine learning models using open source algorithms
</li><li>Benchmark the model performance, compare and contrast the results of different algorithms
</li><li>Work with disparate data sources and extract actionable insights from massive datasets
</li><li>Continuously learn new approaches in machine learning and feature extraction techniques
</li><li>Create data visualizations to help explain the story from data and present findings to non-technical audience
</li><li>Work with engineers in translating research work into production quality code
</li><li>Work with product managers and other stakeholders in understanding business requirements
</li></ul><br>
<p><b>YOU ARE RIGHT FOR THE JOB IF:
</b></p><ul><li>Your education background and relevant work experience demonstrate a mixture of math, statistics, and engineering
</li><li>You are able to code in Python and/or R
</li><li>You have working knowledge of big data technologies such as Hadoop, Hive and Spark
</li><li>You have worked on both SQL and NoSQL databases and can extract data on your own with little help from Data Engineers
</li><li>You feel comfortable working with data that is sometimes incomplete, or messy. Or both.
</li><li>You possess business acumen and curiosity to learn Centro’s business operations
</li><li>You don’t limit yourself to how things are done today. You instead focus on the best ways to create value
</li></ul><p><br>
<b>Centro is an Equal Opportunity Employer and does not discriminate against any employee or applicant on the basis of race, gender, age, disability or any other basis protected under the law.</b></p></div></span>",18 reviews,"Chicago, IL"
Data Scientist - Human Services,Mathematica Policy Research,"<span id=""job_summary"" class=""summary""><div><div><div><p><b>Position Description</b>:<br>
</p><p>
Mathematica Policy Research is dedicated to improving public well-being by bringing the highest standards of quality, objectivity, and excellence to bear on information and analysis for our partners and clients. The company has been at the forefront of design and assessment of public policies and programs since 1968. Our data analytics have yielded actionable information to guide decisions in wide-ranging policy areas, from health, education, early childhood, and family support to nutrition, employment, disability, and international development. Come join our team and make important contributions to improving the design and operations of key public programs.</p><p>
Mathematica seeks a <b>data scientist</b> with experience in the design, development and implementation of applied data science and advanced analytics efforts for data analytic and statistical programming projects within the human services domain. S/he will contribute to advanced analytic business development strategies, analytic projects, and strategic planning around analytic methods, technologies, staffing and training. S/he will design, develop, and deploy data-driven approaches to solve problems and answer important policy questions for clients using technologies in data mining, machine learning, predictive analytics, statistical modeling, analytics platforms, and business intelligence.</p><p><b>
Position Responsibilities:</b></p><ul><li><p>
Oversee the delivery of scalable and real-time analytical information in support of client decision making and Mathematica’s projects</p></li><li><p>
Manage data science projects and tasks</p></li><li><p>
Contribute to business development efforts (proposals, strategies, capabilities) for data science opportunities</p></li><li><p>
Leverage technical expertise in applied data science and advanced analytics to build sound predictive analytical models and produce business intelligence solutions</p></li><li><p>
Apply a wide array of advanced data mining techniques (including supervised and unsupervised methods, dimension reduction methods, and social network analysis methods) in support of research and operational analytic projects.</p></li><li><p>
Contribute to methodological standards for the company’s data analytics capabilities</p></li><li><p>
Advise senior management on gaps in the company’s current technical capabilities and recommend plans for growth through the adoption of new methodologies and technology</p></li><li><p>
Mentor and support the professional development of new and existing staff in data science and advanced analytics</p></li></ul><br>
</div><div><p><b>
Position Requirements</b>:<br>
</p><ul><li>
Master’s degree or PhD in relevant field preferred; strong statistical background</li><li>
5 years of experience in advanced analytics, data mining, predictive modeling, machine learning, or other data intensive analytical role</li><li>
Proven ability to design and leverage data science methods according to client needs and in support of client decision-making</li><li>
Experience working with large-scale databases, big data frameworks, and tools</li><li>
Extensive experience with SAS, R, SQL, and/or business intelligence tools in the application of machine learning, network analysis, text analytics and/or predictive modeling</li><li>
Proven ability to effectively communicate design specifications and results of models to internal and external audiences</li><li>
Strong record of proven leadership ability and excellent communication skillsPrior experiencing leading advanced analytical teams and/or engagements is highly desired</li><li>
Experience formulating or contributing to proof concept analyses or demos is highly desired</li><li>
Experience contributing to innovative analytical solutions is highly desired</li><li>
Experience contributing to business development efforts and business proposals is highly desired</li><li>
Subject-matter knowledge in a human services substantive area such as education, labor, family support field preferred</li></ul><p>
To apply, please submit a cover letter, resume, writing sample, and salary requirements. We offer our employees a stimulating, team-oriented work environment, competitive salaries, and a comprehensive benefits package, as well as the advantages of employee ownership.</p><p>
Various federal agencies with whom we contract require that staff successfully undergo a background investigation or security clearance as a condition of working on the project. If you are assigned to such a project, you will be required to obtain the requisite security clearance.</p><p>
Available Locations: Princeton, NJ; Washington, DC; Cambridge, MA; Ann Arbor, MI; Oakland, CA; Chicago, IL</p><br>
<br>
</div></div><p>We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class.</p></div></span>",68 reviews,"Chicago, IL"
Data Scientist,Kemper Corporation,"<span id=""job_summary"" class=""summary""><div>Position Summary:<br>
<br>
Kemper Corporate Services has an immediate need for an experienced Data Engineer to work from our downtown Chicago office.<br>
This position will be responsible for implementing business solutions utilizing all aspects of the system development life cycle. Strong analysis, design, organizational, and communication skills are required You must have the ability to work well with a team in a fast paced environment, meet deadlines, and communicate effectively and professionally with employees at all levels.
<br>
<br>
Position Responsibilities:<br>
<br>
<ul><li>Develop efficient applications primarily utilizing Python</li><li>Adhere to coding and testing standards</li><li>Create and maintain documentation</li><li>Utilize the system development life cycle to take projects from inception through implementation</li><li>Strong analytical and problem solving skills</li><li>Share knowledge, communicate effectively and professionally</li></ul>
<br>
Position Qualifications:<br>
<br>
<ul><li>3+ years’ experience with Python development or 5+ years’ experience in a development environment and some Python proficiency</li></ul>
<br>
<ul><li>Competence with SQL a plus</li></ul>
<br>
Our employees enjoy great benefits:<br>
<br>
<ul><li>Qualify for your choice of health and dental plans within your first month.</li><li>Save for your future with robust 401(k) match, Health Spending Accounts and various retirement plans.</li><li>Learn and Grow with our Tuition Assistance Program, paid certifications and continuing education programs.</li><li>Contribute to your community through United Way and volunteer programs.</li><li>Balance your life with generous paid time off and business casual dress.</li><li>Protect what you love with discounts on home and auto insurance products.</li><li>Get employee discounts for shopping, dining and travel through Kemper Perks.</li></ul>
<br>
Kemper at a glance<br>
<br>
With $8 billion in assets, Kemper is one of the nation's leading insurers. The Kemper family of companies specializes in home, auto, life, health and valuables insurance products for individuals, families and businesses.<br>
<br>
Kemper’s underwriting companies* are rated A- (Excellent) by A.M. Best Company, the leading insurance industry rating authority. Kemper services six million policies and ranks among the top 25 personal lines property and casualty writers and the 2016 Ward’s 50 Top Performers list of life insurance companies.<br>
<br>
<ul><li>Alliance United Insurance Company is not rated.</li></ul>
<br>
We value diversity and strive to be an employer of choice. An Equal Opportunity Employer, M/F/D/V<br>
<br>
-MO +CB -LJ -GD -IN -MSJ -PT</div></span>",206 reviews,"Chicago, IL"
