position,company,description,reviews,location
Data Engineer,Gallup,"Help Gallup fulfill our mission of providing analytics and advice on everything that matters by creating the infrastructure to fuel analysis, insights and products.
As a data engineer, you will consult with data scientists and client teams to develop and implement prototypes and products to advise on quantitative research across a wide range of organizational topics. In your role as an infrastructure builder, you will work with internal teams to: Design, construct, install, test and maintain highly scalable data management systems as well as integrate new data management technologies and software engineering tools into existing structures. You will also partner with client teams to develop data pipelines that support a range of enterprise and government projects, including supervised and unsupervised learning methods, time-series forecasting, and network analysis. You will also be responsible for helping consultants and data scientists produce high-quality, easily understood data products for clients.
Who we want:
Automation architects who can conceptualize manual processes, generate coding and systems to reduce human dependency.
Experienced coders who can identify the right tools for the job and who have an eye for the smallest details and a talent for flawless execution.
Strategic thinkers who can apply their expertise to make discoveries in complex data.
Problem solvers who enjoy working with others to design and implement robust solutions to challenging real-world problems.
Creative analysts who are familiar with a variety of coding languages, who enjoy participating in (and winning!) hackathons, and who have experience working across programming languages and systems to meet the needs of multiple stakeholders.
Mission-driven individuals who are motivated to create the best production, prototype and research infrastructures because of their desire to change the world.
Qualifications
What you need:
A bachelor’s degree from a computer science/engineering, computational social science or operations research program or related area required
Minimum of one year of corporate experience in designing and building production-level data pipelines required
Mastery of at least one open-source general-purpose programming language (e.g., Python, Go, Java, JavaScript, PHP, Perl) and knowledge of a second are key requirements
Minimum of at least one year experience in the fundamentals of machine learning and statistics, with an emphasis on the engineering aspects needed to implement these algorithms at scale (e.g., distributed computing) required; knowledge of an open-source statistical programming language (e.g., R, Julia, Stan) is a plus
Must be authorized to work in the United States on a full-time basis
What we offer:
A strengths-based, engagement-focused and performance-oriented culture
V irtual workplace opportunities are available
World-class managers who support, position, empower and engage you
Ongoing learning and development opportunities
Mission-driven work that changes the lives of people around the world
Gallup is an equal opportunity/affirmative action employer that celebrates, supports and promotes diversity and inclusion. We will consider all qualified applicants without regard to race, color, religion, sex, national origin, disability, protected veteran status, sexual orientation or gender identity, or any other legally protected basis, in accordance with applicable law.
Primary Location
 United States-Atlanta",140,"Atlanta, GA"
"Manager, Data Scientist",KPMG,"Innovate. Collaborate. Shine. Lighthouse — KPMG's Center of Excellence for Advanced Analytics — has both applied data science, AI, and big data architecture capabilities. Here, you’ll work with a diverse team of sophisticated data and analytics professionals to explore the solutions for clients in a platform-diverse environment. This means your ability to find answers is limited only by your creativity in leveraging a vast array of techniques and tools. Be a part of a high-energy, diverse, fast-paced, and innovative culture that delivers with the agility of a tech startup and the backing of a leading global consulting firm. For you, that translates into the chance to work on a wide range of projects — covering technologies and solutions from AI to optimization — and the power to have a real impact in the business world. So, bring your creativity and pioneering spirit to KPMG Lighthouse.
KPMG is currently seeking a Manager to join our KPMG Lighthouse - Center of Excellence for Advanced Analytics.
Responsibilities:
Analyze and model structured data using advanced statistical methods and implement algorithms and software needed to perform analyses
Build recommendation engines, spam classifiers, sentiment analyzers and classifiers for unstructured and semi-structured data
Cluster large amount of user generated content and process data in large-scale environments using Amazon EC2, Storm, Hadoop and Spark
Perform machine learning, natural language, and statistical analysis methods, such as classification, collaborative filtering, association rules, sentiment analysis, topic modeling, time-series analysis, regression, statistical inference, and validation methods
Help drive client engagements focused on big Data and advanced business analytics, in diverse domains such as product development, marketing research, public policy, optimization, and risk management; communicate results and educate others through reports and presentations
Perform explanatory data analyses, generate and test working hypotheses, prepare and analyze historical data and identify patterns
Qualifications:
A minimum of six years of professional experience working as a Data Scientist
Master's degree or PhD from an accredited college/university in Computer Science, Statistics, Mathematics, Engineering, Bioinformatics, Physics, Operations Research, or related fields, with a strong mathematical background with ability to understand algorithms and methods from a mathematical viewpoint and an intuitive viewpoint
Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud environment
Strong knowledge in at least one of the following fields: machine learning, data visualization, statistical modeling, data mining, or information retrieval
Strong data extraction and processing, using MapReduce, Pig, and/or Hive preferred
Ability to travel up to eighty percent of the time. Must be legally authorized to work in the United States without sponsorship of a VISA.
KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and benefits package. KPMG is an equal opportunity employer. All qualified applicants are considered for employment without regard to race, color, creed, religion, age, sex/gender, national origin, ancestry, citizenship status, marital status, sexual orientation, gender identity or expression, disability, physical or mental handicap unrelated to ability, pregnancy, veteran status, unfavorable discharge from military service, genetic information, personal appearance, family responsibility, matriculation or political affiliation, or other legally protected status. KPMG maintains a drug-free workplace. KPMG will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of applicable local, state or federal law (including San Francisco Ordinance number 131192). No phone calls or agencies please.",4494,"Atlanta, GA 30338"
Machine Learning / Artificial Intelligence Research Scientist,Symantec,"(This is an Individual Contributor Role)

Come join one of the premier research teams at the frontier of AI/ML and Security! We have an opening for a motivated research scientist to help our team develop applied and innovative research for the Center for Advanced Machine Learning (CAML) at Symantec. We emphasize know-how and inventiveness combined with strong soft skills. We provide a fantastic, flexible and social work environment with market competitive salary and benefits.

Key details:
3+ years of proven industry research leadership, or 1+ years post-doc / faculty academic leadership
New or established and track record of academic publications
Expert in theory / application of machine learning spanning fundamental topics which include: feature engineering, tree-based learners, ensembling, supervised &amp; unsupervised learning techniques, deep learning and probabilistic techniques
Demonstrable experience in deep learning, including: GANs, convolutional neural networks, autoencoders, LSTMs and other architectures
Proven ability to collaborate with other scientists, researchers and engineers
Strong coding skills in python, keras, sklearn and tensorflow or cntk
Solid data science skills in problem ideation, formulation, solution and presentation
Exceptional written and verbal communication skills, especially the ability to present technical material to a mixed range of audience
Plus for experience in NLP and/or adversarial machine learning use cases
Plus for experience developing AI/ML features and/or architecture for products
Plus for strong distributed and/or scalable ML software development skills

This role is for an individual researcher to help deliver fundamental and translational research at the intersection of AI/ML and Security.",950,"Atlanta, GA 30338"
Statistical Quantitative Analyst,SunTrust,"Reviews and validates models.
Works with more experienced analysts to develop and validate moderately complex models and methodologies. Researches best practices and new technologies.
Performs model testing and replication and validation of model methodology.

Qualifications
Masters degree in a quantitative field such as Mathematics or Engineering.
Demonstrated technical proficiency related to the position, including Probability and Statistics; Finance (time value of money, yield curve); Programming skills (Visual Basic, C++, and/or Java).
Preferred Requirements:
PhD in a quantitative field such as Mathematics or Engineering.
One year work experience in quantitative analysis.
Equal Opportunity Employer: SunTrust supports a diverse workforce and is a Drug Testing and Equal Opportunity Employer. SunTrust does not discriminate against individuals on the basis of race, creed, color, gender, religion, national originTo review the EEO Poster, copy and paste the following link into your browser: http://www1.eeoc.gov/employers/upload/eeoc_self_print_poster.pdf http://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf",3343,"Atlanta, GA"
Research Scientist,MacDermid Inc.,"Research Scientist

Job Description
The Research Scientist is responsible for supporting new product development opportunities for liquid and sheet photopolymers, including manufacturing support and application development efforts. This will involve carrying out specified experimental programs including lab and pilot scale formulation and extrusion, material characterization, and imaging studies.
Know How

§ B.S. in Chemistry, Chemical Engineering, Polymer Science and Engineering, or a closely-related technical field
§ Background in polymer science and engineering preferred. Background with photopolymers desired.
§ Experience in UV-curable systems and/or elastomeric systems desired.
§ Can handle multiple project assignments in known disciplines. Some ability to develop new procedures in technical disciplines.
§ Analyzes experimental requirements and sets up complex lab apparatus and instrumentation to conduct complicated experiments or tests.
§ Knows basic Design of Experiment (DOE) principles and may be able to apply to work
Responsibilities

§ Assists with development of photopolymer resins for flexographic printing plate applications. Will follow development process through manufacturing and into customer sites
§ Records and interprets data, summarizes and prepares memos and reports. Includes complete data analysis and makes recommendations to project leaders.
§ Establishes experimental requirements to solve complicated problems. Analyzes and interprets results, makes recommendations, and proposes deadlines for completion.
§ Monitors current MacDermid product and competitive product performance – be able to react upon field issues or new technologies.
§ Will continue to expand working knowledge of experimental techniques and tools, such as statistical experimental design principles, and of pertinent technology, such as advances in UV/EB curing.
§ Will interact with cross-functional teams in order to drive new products into the marketplace.
§ Must have schedule flexibility, and be available for travel.
Key Skills

§ Scientific and numerical skills
§ Meticulous attention to detail and accuracy
§ Written and oral communication skills
§ A logical and independent mind
§ Excellent analytical skills
§ Interpersonal skills
§ Decisiveness
§ Flexibility
§ Patience
§ Determination
§ Teamwork Skills

Accountability
The research scientist will report directly to a Sr. R&amp;D Manager
Follows assigned projects through manufacturing and may travel to customer trial sites to install, troubleshoot, collect data and do final development work

U.S. Employment: If you have any difficulty using our on-line system, you may use the alternative method described below to contact someone about your interest in employment at MacDermid, Inc. Please reference this statement and job reference you are applying for when contacting us. Tel: 203-575-5848.

MacDermid, Inc. is an E-Verify Company and provides reasonable accommodation for qualified individuals with disabilities and disabled veterans in job applicant procedures. ""Equal Opportunity Employer: Minority/Female/Veteran/Disabled/Gender Identity/Sexual Orientation""

#LI-TT1",,"Atlanta, GA"
Environmental Scientist,Tetra Tech,"Environmental Scientist
 - 10000000492


Tetra Tech is a leading provider of consulting, engineering, and technical services worldwide. Our reputation rests on the technical expertise and dedication of our employees—16,000 people working together across disciplines and time zones to provide smart, sustainable solutions for challenging projects. We are proud to be home to leading technical experts in water, environment, infrastructure, resource management, energy, and international development. Tetra Tech combines the resources of a global, multibillion dollar company with local, client-focused delivery in 400 locations around the world. We offer competitive compensation and benefits and are searching for innovative people to join our teams.

Tetra Tech is looking for a mid-level Environmental Scientist in our Atlanta office to support federal, state, and municipal projects involving environmental permitting, wetland delineations, water quality assessments, threatened and endangered species surveys, watershed management, and stormwater management and planning. The successful candidate will be a self-starter who can work independently and can work as a team member to support complex projects.

Responsibilities:
Oversee environmental permitting for projects in Georgia, Florida, and Alabama
Prepare permit applications and coordinate with regulatory agencies, including the U.S. Army Corps of Engineers and the Georgia Department of Environmental Protection
Perform wetland delineations and prepare wetland assessment reports
Support on stream assessments, water quality monitoring, and other field work
Support stormwater management projects focused on green infrastructure and low impact development
Analyze watershed and water quality data using GIS and statistical techniques
Develop or prepare descriptive charts, figures/maps, and tables/matrices
Perform writing assignments to contribute to project documentation and deliverables such as memos and reports.


Bachelor’s degree in environmental science (or a related field)
3-7 years of relevant work experience
Strong analytical, written and verbal communication skills
Experience conducting wetland delineations in the southeastern U.S.
Experience with environmental permitting and coordinating with the U.S. Army Corps of Engineers and other federal and state regulatory agencies
Experience conducting water quality monitoring
Computer literate; knowledge of MS Word and Excel
Organized and detail oriented
Good time management skills
Highly motivated

Tetra Tech only accepts resumes through its online process. Please apply at www.tetratech.com/careers

We thank all applicants for their interest; however only those selected for an interview will be contacted. Tetra Tech is committed to creating a diverse environment and is proud to be an equal opportunity employer. We invite resumes from all interested parties including, women, minorities, veterans, and persons with disabilities.

Tetra Tech is a VEVRAA federal contractor and we request priority referral of veterans for available positions.
No agencies or calls please.
EOE AA/M/F/Vets/Disability

Job Environmental

Primary Location United States-GA-US-Atlanta

Organization 100 DIV

Schedule Full-time

Job Posting Jul 18, 2018, 1:04:02 PM

Job Closing Date Ongoing",260,"Atlanta, GA"
"Scientist, Asst Bioinformatics",Emory University,"DESCRIPTION
JOB DESCRIPTION:
Under minimal supervision, the Assistant Scientist, Bioinformatics performs a wide range of highly technical and complex bioinformatics procedures.
Qualification for this position requires demonstrated expertise in designing and developing software, databases, and interfaces for analyzing and manipulating research data applications including expertise with simple programming using Perl/Python or Java, statistical programming, web-development, and database query through SQL.
This role collaborates with researchers to develop high throughput data processing and analysis capability.
Directs and guides database searches and the computational analysis of resulting data. Provides direct technical support and helps guide, implement, and maintain further improvements to bioinformatics software, databases, and interfaces and works with the entire bioinformatics team to diagnose and fix related issues.
May assist in grant and other funding applications, as necessary and appropriate.
Demonstrated ability to function as part of a team.
Performs other responsibilities as required.
MINIMUM QUALIFICATIONS:
PhD in bioinformatics, computer science, biological or physical science and three years of experience.
Experience prior to achieving the PhD will be considered.
ADDITIONAL DETAILS


ADDITIONAL JOB DESCRIPTION:

The Bioinformatics Element of the Georgia Comprehensive Metabolomics and Proteomics Unit (CMP-GA) for Molecular Transducers of Physical Activity Consortium (MoTrPAC) and the Emory Integrated Computational Core (EICC) are seeking a highly motivated and talented bioinformatician/computational biologist to join the bioinformatics team at Emory University. The Bioinformatics Element of CMP-GA is responsible for working with the metabolomics and lipidomics labs to provide bioinformatics support, data management, data sharing with the informatics center, developing algorithms and computational workflows, developing and maintaining software, and analyzing and integrating high-throughput metabolomics and lipidomics data using a variety of state-of-the-art statistical and data mining techniques for biomarker discovery and systems biology. This position will contribute to the development and application of computational workflows for processing, analyzing, and visualizing “BIG” metabolomics and lipidomics data. He/she will apply statistical and data mining techniques for biomarker discovery, pathway analysis, and integrating multi –omics data. He/she will present the models in a form that allows users to make decisions concerning the direction of an experimental program. This position will provide opportunities for multiple publications, cross-disciplinary collaborations and experience in integrating metabolomics data with clinical outcomes and other –omics data. Performs related responsibilities as required.

PREFERRED QUALIFICATIONS:
Knowledge of statistical and data mining techniques such as PCA, hierarchical clustering, ANOVA, SVM, PLS, and LIMMA.
Experience with R or other open source software packages for biological and statistical data analysis.
Experience working with large –omics data (metabolomics, lipidomics, and/or transcriptomics).
Familiarity with pathway enrichment and network analysis.
Familiarity with MySQL/NoSQL and knowledge of relational databases.
Familiarity with cloud computing (Amazon, Google)
Expertise in systems biology and/or omics data analysis. Experience with metabolomics and lipidomics data is desired, but not required.
Strong skills with statistical packages in R to discover patterns, trends, and groups within complex biological data.
Experience with one or more programming languages: R, Python, Perl
Strong communication skills (both verbal and written) and interpersonal skills to clearly and concisely convey objectives and results to a diverse audience including clinicians, biochemists, computational biologists, molecular biologists, and toxicologists. Able to multitask and thrive in a fast paced, dynamic, project-driven work environment.
Comfortable using both Linux and Windows platforms.",550,"Atlanta, GA"
Research Analyst,Evident,"The research analyst will support the identification and definition of data sources for the Evident Platform. You will perform in depth research into a wide variety of focus area identifying authoritative sources for information and analyzing the structure of the returned data to create definition of how the customers will interface with the data. This role will work closely with sales, product, and engineering teams to carry a customer need from concept to realization.
Gain knowledge around topic areas to understand the possible verifications that exist within the domain
Investigate potential authoritative sources of data including understanding potential competitive landscape of the market participants
Understand the data: quality, meaning, and applications
Define data structure and normalization where required
Maintain data coverage reports
Simplify and organize fragmented but similar sources into digestible and normalized schemas
Content Creation - Create summaries and descriptive text that will be used within the platform for consumption by customers
Implement research standards and process within Evident
Requirements
Strong intellectual curiosity and eagerness to learn
Outstanding attention to detail
High volume research experience
Capable of managing multiple projects simultaneously
Ability to work well with limited direction/oversight
Strong communication skills with ability to collect organize, analyze and disseminate significant amounts of information with attention to detail and accuracy
Strong computer skills with office productivity suite (word processing, spreadsheet, presentation software)
Analytical mindset
Excellent organization and project management skills
Benefits
Our team solves a crucial problem with huge business potential together, and we are able to see exactly how our contribution affects customers!
Innovatively cool, fun and tech-savvy location! We are located in midtown in the center of Atlanta’s “Tech Square” community.
We offer a friendly work environment and great culture with highly capable people.
Dress casually and join us for company lunches and other events!
Competitive pay package, including base pay and stock options
Excellent benefits package
Free parking provided
Quick walking accessibility to the Georgia Tech community and great local eateries such as, The Canteen (offer several vendor eateries), Ray’s Pizza, The Revelator, Starbucks and more!",8,"Atlanta, GA"
"Scientist, Asst (AR) SOM",Emory Healthcare,"Description
JOB DESCRIPTION:
Under minimal supervision, the Assistant Academic Research Scientist performs a wide range of highly technical and complex tasks necessary to advance basic and/or translational research programs.
Responsible for working with experimental platforms specific to the hiring Program.
Duties will include but are not limited to experimental design, data analysis, and interpretation and communication of results of basic and/or translational research.
Will be required to reviews literature and apply advanced knowledge, skills, and input necessary for protocol development.
May assist in grant and other funding applications, as necessary and appropriate.
Performs other responsibilities as required.
MINIMUM QUALIFICATIONS:
PhD or MD OR Master's degree and five years of professional level experience in a technical or research lab. Internship experience or experience prior to attaining the qualifying degree is not considered eligible work experience for this job classification.
Laboratory experience will be based on area of assignment.
Additional Details
Assistant Scientist (Genetics/Psychiatric Genetics/Neurologic Genetics)

We are seeking a highly motivated individual with significant experience in biostatistics and bioinformatics to join an interdisciplinary collaborative research group of highly successful investigators that span psychiatry, neurology, biostatistics, bioinformatics, genetics, biochemistry, and neuroscience. The Assistant Scientist will work on NIH-funded and other projects analyzing longitudinal/time-series data and multi-omics data (transcriptomic, epigenetic, and proteomic data) to uncover new insights into Alzheimer's disease and psychological well-being. The Assistant Scientist will help prepare scientific manuscripts under the direction of the Principal Investigators.

The ideal candidate must be able to work independently with minimal guidance. Presentations will be expected in lab meetings. Expected to keep meticulous records of his/her data analysis. Responsible for backing up of scientific data. Expected to supervise and teach lab members on an infrequent basis.",1181,"Atlanta, GA 30322"
"Analyst, Research",Turner,"The Turner Story
Turner is a division of WarnerMedia along with our sister companies, HBO and Warner Bros. We are better known as the folks who bring you CNN, HLN, TCM, TNT, tbs, Adult Swim, Cartoon Network, Turner Sports, truTV and so much more! From cutting-edge breaking news stories, up-to-the-minute sports coverage, and the characters we grew up loving on to the shows we love today, Turner continues to be the gold standard in first class television programming and a demonstrated leader in digital content. We tell the stories the world wants to hear. Won’t you be a part of our story? www.turner.com

What part will you play?
CNN TV Research seeks a dynamic individual to provide research and administrative support for its ATL-based team.

What will you be doing?
Develop a deep understanding of the television landscape and media research, and how they intersect
Assist in production of daily and regular reporting needs for the CNN and HLN brands, as well as, competitive networks
Create, maintain, and clean various large-scale datasets to be translated into data visualizations through tools such as Tableau or Domo
Provide support and recommendations (with manager oversight) for CNN / HLN Executive Management Team and Marketing teams
Support larger team in long-range estimates and forecasting
Learn how to extract and analyze industry data using Nielsen research software applications (Ex: Nielsen NPower, Arianna, Star Media, etc.)

What do we need from you?
Candidate must have knowledge - and more importantly - a strong passion for TV, News, and the Media landscape
Prior Excel experience required: o Experience with Pivot Tables and Excel analysis formulas (including IF, VLOOKUP, COUNT, SUMIF)
Base skill set of data analysis programing languages such as SQL, R, or Python preferred; additional experience in Tableau, PowerBI, DOMO, or other similar data visualization software ideal
Ability to master new tools (some one-on-one training on Nielsen software will be provided by supervisor/team)
Strong analytical skills with the ability to collect, organize, and analyze significant amounts of information with meticulous attention to detail and accuracy
Minimum of 1-year relevant work experience or internship
Bachelor's degree required with mathematics, media, marketing or business degree preferred

But wait, there’s more!
Paid time off every year to volunteer
Access to wellbeing tools, resources, and freebies
2017 Best Company for Working Mothers
An in-house learning and development team to help shape and grow your career
Part of the WarnerMedia family of powerhouse brands
 #conference
Turner Broadcasting System, Inc. and its subsidiaries are Equal Opportunity Employers and E-Verify users. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, or protected veteran status.",375,"Atlanta, GA 30319"
"Director, NLP Data Scientist",KPMG,"Innovate. Collaborate. Shine. Lighthouse — KPMG's Center of Excellence for Advanced Analytics — has both applied data science, AI, and big data architecture capabilities. Here, you’ll work with a diverse team of sophisticated data and analytics professionals to explore the solutions for clients in a platform-diverse environment. This means your ability to find answers is limited only by your creativity in leveraging a vast array of techniques and tools. Be a part of a high-energy, diverse, fast-paced, and innovative culture that delivers with the agility of a tech startup and the backing of a leading global consulting firm. For you, that translates into the chance to work on a wide range of projects — covering technologies and solutions from AI to optimization — and the power to have a real impact in the business world. So, bring your creativity and pioneering spirit to KPMG Lighthouse.
KPMG is currently seeking a Director to join our KPMG Lighthouse - Center of Excellence for Advanced Analytics.
Responsibilities:
Develop innovative data science solutions for Fortune 500 clients that utilize natural language processing, optimization, machine learning, econometric and/or Bayesian modelling, while working across a diverse range of domains such as risk management, product development, marketing research, supply chain, and public policy
Utilize a hypothesis-driven problem-solving approach to design, construct and rapidly test/iterate exploratory analyses that will reveal insight and opportunities for the client
Utilize a variety of rich variety of data sources such as web data, internal/external documents, emails, financial, transactional, sales, and operational data; identify, review, and integrate data sources and classify the appropriate technologies (SQL, NoSQL, HDFS, S3, Lucene) to store the data
Stay up to date on research and industry trends, and identify technical areas for opportunity and lead innovation projects that demonstrate value; educate internal and external clients through workshops, and present at conferences, seminars, courses, and training events
Plan, direct, and build analytics solutions with a team of data science, big data engineers, consultants, and visualization experts; utilize a variety of big data technologies and analytics tools as deemed appropriate and as required by the client; be hands-on as needed to achieve project delivery
Provide SME support to projects through supporting brainstorming, project scoping, technical approach creation, and technical quality review, while helping manage technical risks, and blockers helping to ensure successful delivery; document approach and underlying design decisions
Qualifications:
A minimum of ten years of relevant experience and expert knowledge on the technical side of natural language processing (NLP), and previous experience in artificial intelligence (AI)
Master's degree from an accredited college/university in Computer Science, Statistics, Mathematics, Engineering, Econometrics, or related fields, PhD is preferred
Proficiency in programming languages (e.g. R, Python, Java, Scala) and ability to deploy tools in a Linux environment; broad understanding of databases (e.g. SQL, NoSQL, Lucene, Mongo), and high-performance or distributed processing (e.g. Hadoop, Spark)
Ability to translate engagement objectives to a project plan with milestones, and resource/technology requirements, and teach, lead, and manage projects to successful execution
Ability to work across multiple engagements with clients to assess needs, provide assistance, and resolve problems, using structured problem solving and communication to both technical and non-technical audiences
Ability to travel up to eighty percent of the time. Must be legally authorized to work in the United States without sponsorship of a VISA.
KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and benefits package. KPMG is an equal opportunity employer. All qualified applicants are considered for employment without regard to race, color, creed, religion, age, sex/gender, national origin, ancestry, citizenship status, marital status, sexual orientation, gender identity or expression, disability, physical or mental handicap unrelated to ability, pregnancy, veteran status, unfavorable discharge from military service, genetic information, personal appearance, family responsibility, matriculation or political affiliation, or other legally protected status. KPMG maintains a drug-free workplace. KPMG will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of applicable local, state or federal law (including San Francisco Ordinance number 131192). No phone calls or agencies please.",4494,"Atlanta, GA 30338"
Information Technology Specialist,Centers for Disease Control and Prevention,"The purpose of this position is to provide information technology expertise and senior consultation to health informatics scientists in the design, development and implementation of IT systems.

Learn more about this agency
Responsibilities

As an Information Technology Specialist you will:
Provide leadership and senior expertise to health informatics scientists and other scientific design.
Develop and implement health data IT systems that will interface with relevant external health databases.
Design and monitor the execution of software requirements, and data dictionaries.
Conduct post-implementation evaluation of operational informatics systems to measure the overall effectiveness.
Perform analysis on informatics.
Develop standardized data for public and private health care information systems.
Other duties assigned.
Travel Required
Occasional travel - You may be expected to travel domestically 10% of the time for this position.

Supervisory status
No

Promotion Potential
13

Job family (Series)
2210 Information Technology Management
Similar jobs
Information Technology Specialist (It Specialist)
Requirements
Help
Requirements
Conditions of Employment
US Citizenship is required.
Background Investigation is required.
E-Verify: If you are selected for this position, the documentation that you present for purposes of completing the Department of Homeland Security (DHS) Form I-9 will be verified through the DHS ""E-Verify"" System. Federal law requires DHS to use the E-Verify System to verify employment eligibility of all new hires, and as a condition of continued employment obligates the new hire to take affirmative steps to resolve any discrepancies identified by the system. The U.S. Department of Health and Human Services is an E-Verify Participant.
Direct Deposit: All Federal employees are required to have Federal salary payments made by direct deposit to a financial institution of their choosing.
One-year probationary period may be required.
Travel, transportation, and moving expenses will be paid: No
Bargaining Unit Position: Yes
Drug Screening Required: No
Recruitment Incentive may be authorized: No
Annual Leave for non-federal service may be authorized: No
Research position: No
Promotion potential: No
Supervisory position: No
Time in grade (TIG) must be met within 30 days of the closing date of the announcement.
Current or Former Political Appointees: Agencies must seek prior approval from the Office of Personnel Management (OPM) before they can appoint a current or recent political appointee to a competitive or non-political excepted service position at any level under the provisions of title 5, United States Code. If you are currently, or have been within the last 5 years, a political Schedule A, Schedule C, or Non-career SES employee in the executive branch, you MUST disclose that to the Human Resources Office. Failure to disclose this information could result in disciplinary action including removal from Federal Service. Current or Former Political Appointees: Submit SF-50.
All qualification requirements must be met by the closing date of the announcement.
Qualifications

MINIMUM QUALIFICATIONS:
GS-13: Applicants must have one year of specialized experience at or equivalent to the GS-12 level of difficulty and responsibility in the Federal service as defined in the next paragraph.

Specialized experience is experience which is directly related to the position which has equipped the applicant with the particular knowledge, skills and abilities (KSAs) to successfully perform the duties of the position to include experience developing software systems for enterprise wide applications; providing technical guidance on formulation of requirements for proposed applications; providing 508 compliant programming and secure data management of systems and have IT-related experience demonstrating each of the four competencies: Attention to Detail, Customer Service, Oral Communication, and Problem Solving.
Education
This job does not have an education qualification requirement.

Additional information
This vacancy is also being announced concurrently with vacancy announcement HHS-CDC-D2-18-1026568 under competitive procedures. Please review that announcement to see if you are eligible for consideration under competitive procedures.

PHS Commissioned Corps Officers interested in performing the duties of this position within the Commissioned Corps (not as a career/career-conditional employee) are encouraged to apply under the merit promotion announcement indicated above.

Additional selections may be made within the same geographical location CDC-wide.

If you are a veteran with preference eligibility and you are claiming 5-points veterans' preference, you must submit a copy of your DD-214 or other proof of eligibility. If you are claiming 10-point veterans' preference, you must also submit an SF-15, ""Application for 10-Point Veterans' Preference"" plus the proof required by that form. For more information on veterans' preference see http://www.usajobs.gov/Veterans

Males born after December 31, 1959 must be registered or exempt from Selective Service (see).

For information on ""People with Disabilities"" please visit http://opm.gov/disability/PeopleWithDisabilities.asp

Interagency Career Transition Assistance Program (ICTAP): For information on how to apply as an ICTAP eligible see http://opm.gov/rif/employee_guides/career_transition.asp#ictap. To be well-qualified and exercise selection priority for this vacancy, displaced Federal employees must be rated at 85.0 or above on the rating criteria for this position.

To view the questionnaire, click on the following link: https://apply.usastaffing.gov/ViewQuestionnaire/10265687

If you are unable to apply online or need to fax a document(s), view the following link for information regarding an Alternate Application.

Read more
How You Will Be Evaluated
You will be evaluated for this job based on how well you meet the qualifications above.

Once the application process is complete, a review of resume and supporting documentation will be made and compared against your responses to the assessment questionnaire to determine if you are qualified for this job. If, after reviewing your resume and or supporting documentation, a determination is made that you have inflated your qualifications and or experience, you may lose consideration for this position. Please follow all instructions carefully. Errors or omissions may affect your eligibility.

Your qualifications will be evaluated on the following competencies (knowledge, skills, abilities and other characteristics):
Accountability
Configuration Management
Continuous Development
Creativity/Innovation
Customer Service
Decision Making
Interpersonal Skills
IT Quality Assurance
Organizational Systems Awareness
Performance Management
Problem Solving
Software Development and Maintenance
Software Knowledge
Systems Analysis and Design
Team Building
Technical and Process Documentation
Technical Credibility
Technology Management
Written Communication
Read more
Background checks and security clearance
Security clearance
Q - Nonsensitive

Drug test required
No

Required Documents
Help
Required Documents
Your résumé showing work schedule, hours worked per week, dates of employment and duties performed.
Other supporting documents: Veterans Preference Documentation, if applicable
SF-50 (if you are a federal employee or have reinstatement rights as a federal employee)
Schedule A Eligibility Letter if you are applying as a Schedule A candidate
Veterans Preference Documentation (if applicable)
Failure to submit any of the above mentioned required documents may result in loss of consideration due to an incomplete application package. It is your responsibility to ensure all required documents have been submitted.

For Résumé and Application Tips visit: https://help.usajobs.gov/index.php/Tips.
Benefits
Help
Benefits
A career with the U.S. Government provides employees with a comprehensive benefits package. As a federal employee, you and your family will have access to a range of benefits that are designed to make your federal career very rewarding. Learn more about federal benefits.

Review our benefits

Eligibility for benefits depends on the type of position you hold and whether your position is full-time, part-time, or intermittent. Contact the hiring agency for more information on the specific benefits offered.",350,"Atlanta, GA"
